t_sec,label,x,y,z,vx,vy,vz,ax,ay,az
0.058142,default_config,-0.0006767813465557992,-0.0004068380512762815,0.022829851135611534,-0.0007814216078259051,-0.0017190990038216114,0.0028948590625077486,nan,nan,nan
0.059004,default_config,nan,nan,nan,nan,nan,nan,0.0016968999989330769,0.002386787673458457,1.0031330585479736
0.108084,default_config,-0.00041802684427239,9.221470827469602e-05,0.02236209250986576,0.00035781506448984146,0.0011329418048262596,0.0002359543286729604,nan,nan,nan
0.109067,default_config,nan,nan,nan,nan,nan,nan,0.0030989693477749825,0.0027847071178257465,0.9986597895622253
0.158330,default_config,-0.001423755194991827,-0.0001635149965295568,0.023804839700460434,-0.0043602557852864265,-0.0002516304375603795,0.007687856908887625,nan,nan,nan
0.159264,default_config,nan,nan,nan,nan,nan,nan,-0.00041154990321956575,0.0017487856093794107,1.001302719116211
0.207586,default_config,-0.0006882884190417826,-0.00016951991710811853,0.023762153461575508,-0.0011295914882794023,-0.00038128631422296166,0.005938580725342035,nan,nan,nan
0.208398,default_config,nan,nan,nan,nan,nan,nan,0.001008706633001566,0.0009697001660242677,1.0021220445632935
0.257001,default_config,4.18194686062634e-05,7.707157055847347e-05,0.024523435160517693,0.0027606331277638674,0.0009746133000589907,0.008774147368967533,nan,nan,nan
0.257964,default_config,nan,nan,nan,nan,nan,nan,0.0010962402448058128,0.0003050479863304645,1.0018889904022217
0.307501,default_config,0.0002582722227089107,-0.0006120690377429128,0.024637427181005478,0.0035639749839901924,-0.0028871039394289255,0.007491317577660084,nan,nan,nan
0.308564,default_config,nan,nan,nan,nan,nan,nan,0.0016620155656710267,0.0015244215028360486,1.001571536064148
0.357290,default_config,-0.00020159671839792281,0.00029493271722458303,0.024679698050022125,0.0007165517308749259,0.0018028138438239694,0.00614878349006176,nan,nan,nan
0.358235,default_config,nan,nan,nan,nan,nan,nan,0.0021075489930808544,0.001555556314997375,0.9983624815940857
0.407130,default_config,-0.0006395215750671923,0.0002957780670840293,0.025079328566789627,-0.0010285410098731518,0.0013675891095772386,0.006513326428830624,nan,nan,nan
0.408131,default_config,nan,nan,nan,nan,nan,nan,0.001426917384378612,0.0018316004425287247,0.9996711015701294
0.456741,default_config,-0.0004202333220746368,-0.00012418658297974616,0.023911258205771446,0.0007829462410882115,-0.0013542450033128262,-0.00047531284508295357,nan,nan,nan
0.458618,default_config,nan,nan,nan,nan,nan,nan,0.0020441049709916115,0.0006456761038862169,0.9992391467094421
0.507099,default_config,-0.0012895363615825772,-0.00012947965296916664,0.023745059967041016,-0.00311192381195724,-0.001354853855445981,-0.0025422999169677496,nan,nan,nan
0.508204,default_config,nan,nan,nan,nan,nan,nan,0.0012039412977173924,0.0014465366257354617,1.0017890930175781
0.557383,default_config,4.2042771383421496e-05,-0.0001504927349742502,0.02337484620511532,0.0036601454485207796,-0.0012619792250916362,-0.0036619731690734625,nan,nan,nan
0.558324,default_config,nan,nan,nan,nan,nan,nan,0.002041339175775647,0.00021278524945955724,1.00200617313385
0.607268,default_config,-0.00020657258573919535,0.00029212594381533563,0.02353188395500183,0.0018025480676442385,0.001609919941984117,-0.001828590640798211,nan,nan,nan
0.608262,default_config,nan,nan,nan,nan,nan,nan,0.0015947135398164392,0.0009808551985770464,0.9989812970161438
0.657554,default_config,-0.0004337990249041468,-0.00034137879265472293,0.022834522649645805,0.0004978886572644114,-0.0017162299482151866,-0.004752092994749546,nan,nan,nan
0.658565,default_config,nan,nan,nan,nan,nan,nan,0.001075914828106761,0.001606559380888939,1.0011194944381714
0.707127,default_config,0.00020345280063338578,8.695330325281247e-05,0.024014761671423912,0.0038398883771151304,0.0007945573306642473,0.002105673309415579,nan,nan,nan
0.708132,default_config,nan,nan,nan,nan,nan,nan,0.000757972477003932,0.00269457814283669,1.0002726316452026
0.757483,default_config,-0.000427965191192925,8.335227175848559e-05,0.023638537153601646,9.259690705221146e-05,0.0005010886234231293,-0.0004161589022260159,nan,nan,nan
0.758466,default_config,nan,nan,nan,nan,nan,nan,0.00047764950431883335,0.002964441664516926,1.0002281665802002
0.806836,default_config,-0.0006344740395434201,-0.00013004179345443845,0.02148822322487831,-0.0011186969932168722,-0.0008730017580091953,-0.009960188530385494,nan,nan,nan
0.807856,default_config,nan,nan,nan,nan,nan,nan,0.0009876166004687548,0.000803820788860321,1.0007728338241577
0.857124,default_config,-0.0001826191582949832,0.0003199381462763995,0.022161558270454407,0.0014825431862846017,0.0016645180294290185,-0.004541744943708181,nan,nan,nan
0.858183,default_config,nan,nan,nan,nan,nan,nan,0.0006727430154569447,0.0014871667372062802,1.0015220642089844
0.907506,default_config,0.0002733394503593445,-0.00012577930465340614,0.022346798330545425,0.0036512326914817095,-0.0009611825807951391,-0.002223092829808593,nan,nan,nan
0.908474,default_config,nan,nan,nan,nan,nan,nan,0.0023038596846163273,0.001364892814308405,0.9997313618659973
0.957095,default_config,-0.00016912411956582218,0.0003112994891125709,0.022955898195505142,0.0008285797666758299,0.001586664468050003,0.001313609885983169,nan,nan,nan
0.958075,default_config,nan,nan,nan,nan,nan,nan,-0.0005016871728003025,0.0023032082244753838,1.0005218982696533
1.007010,default_config,-0.0006056209094822407,-0.0003331591433379799,0.022615991532802582,-0.001305687241256237,-0.0015159568283706903,-0.0002960090059787035,nan,nan,nan
1.008200,default_config,nan,nan,nan,nan,nan,nan,0.0004772224638145417,0.0016799469012767076,0.9999017119407654
1.057582,default_config,-0.0001359719899483025,-0.00013312787632457912,0.021998001262545586,-0.003929816652089357,-0.004016858525574207,2.5333985831821337e-05,nan,nan,nan
1.058382,default_config,nan,nan,nan,nan,nan,nan,0.0018867424223572016,-0.0007871179259382188,1.0004401206970215
1.107413,default_config,-0.0001865678932517767,-0.00019559137581381947,0.02148568443953991,-0.0015222368529066443,-0.0018837038660421968,-0.0004799411981366575,nan,nan,nan
1.108273,default_config,nan,nan,nan,nan,nan,nan,0.0020760290790349245,0.0035428099799901247,1.001739501953125
1.157062,default_config,-0.00034492448321543634,-0.0002456140937283635,0.02169962413609028,-0.0024063328746706247,-0.001102406531572342,0.0001894294109661132,nan,nan,nan
1.158071,default_config,nan,nan,nan,nan,nan,nan,-5.847293869010173e-05,0.003374125575646758,1.0018565654754639
